profile,routine,canonical_name,api_class,signedness,operation,width,mean_cycles,min_cycles,max_cycles,cases,cycle_basis,reachable_code_bytes,zp_bytes,zp_ranges,stack_page_reserved_bytes,profile_prg_payload_span_bytes,profile_reu_image_bytes,profile_declared_shared_zp_bytes,implementation,notes
v1_balanced,MATH_UMUL8,mul_u8_u8_u16,stable,unsigned,multiply,8,90.494644,88,93,65536,canonical harness,55,5,$10-$14,0,49047,0,,profile-selected existing UMUL8 path; refreshed ZP record candidate rejected by profile resource contract,exhaustive 8-bit
v1_balanced,MATH_UMUL16,mul_u16_u16_u32,stable,unsigned,multiply,16,273.837200,262,297,5000,2026-09-14 record-upgrade deterministic comparison corpus,208,17,$09-$19,0,49047,0,,17-ZP qualified record-derived fused quarter-square resident kernel (retained after refresh sweep),
v1_balanced,MATH_UMUL24,mul_u24_u24_u48,stable,unsigned,multiply,24,489.988792,462,542,2409,2026-09-20 multiply-refresh deterministic cross-profile corpus,369,24,$09-$20,0,49047,0,,FAST24 private 24-ZP carry producer with stable public adapter,
v1_balanced,MATH_UMUL32,mul_u32_u32_u64,stable,unsigned,multiply,32,712.235367,652,831,2409,2026-09-20 multiply-refresh deterministic cross-profile corpus,336,31,$02-$20,0,49047,0,,FAST31/V29-derived private q0 unsigned producer; mixed-call-safe public binder,
v1_balanced,MATH_UMUL32_READY,mul_u32_u32_u64_ready,stable,unsigned,multiply-ready,32,697.175781,642,784,1024,2026-09-20 multiply-refresh deterministic cross-profile corpus,320,31,$02-$20,0,49047,0,,FAST31/V29-derived private q0 unsigned producer; mixed-call-safe public binder,
v1_balanced,MATH_SMUL8,mul_s8_s8_s16,stable,signed,multiply,8,67.992188,66,70,65536,2026-09-20 multiply-refresh deterministic cross-profile corpus,46,0,,0,49047,0,,direct signed-domain quarter-square kernel with private signed-sum planes,
v1_balanced,MATH_SMUL16,mul_s16_s16_s32,stable,signed,multiply,16,293.298407,260,327,4457,current native-signed multiply validation,273,17,$09-$19,0,49047,0,,FAST17 native signed composition with private 17-ZP magnitude core,
v1_balanced,MATH_SMUL24,mul_s24_s24_s48,stable,signed,multiply,24,531.496472,474,591,2409,current native-signed multiply validation,505,24,$09-$20,0,49047,0,,FAST24 four-quadrant native signed composition; immutable quarter-square tables shared,
v1_balanced,MATH_SMUL32,mul_s32_s32_s64,stable,signed,multiply,32,744.569946,660,873,2409,current native-signed multiply validation,1406,31,$02-$20,0,49047,0,,FAST31/V29 native signed quadrant composition; mixed-call-safe public path,
v1_balanced,MATH_SMUL32_READY,mul_s32_s32_s64_ready,stable,signed,multiply-ready,32,726.388672,645,813,1024,current native-signed multiply validation,1387,31,$02-$20,0,49047,0,,FAST31/V29 native signed quadrant composition; mixed-call-safe public path,
v1_balanced,MATH_UDIV8,div_u8_u8_u8_8,stable,unsigned,divide,8,59.571976,26,554,65536,2026-09-20 unsigned division-family validation,297,1,$10,0,49047,0,,direct-public 8-bit divider; quotient/remainder produced in stable I/O without marshalling,exhaustive
v1_balanced,MATH_UDIV16,div_u16_u16_u16_16,stable,unsigned,divide,16,132.725857,41,1535,4753,2026-09-20 unsigned division-family validation,326,2,$10-$11,0,49047,0,,balanced direct-public 16-bit divider,structured_random
v1_balanced,MATH_UDIV24,div_u24_u24_u24_24,stable,unsigned,divide,24,194.156322,56,3235,4753,2026-09-20 unsigned division-family validation,1128,3,$10-$12,0,49047,0,,balanced direct-public 24-bit divider,structured_random
v1_balanced,MATH_UDIV32_16,div_u32_u16_u32_16,stable,unsigned,divide,32/16,870.340206,182,2099,4753,2026-09-20 unsigned division-family validation,311,12,$10-$1B,0,49047,0,,profile-selected native 32/16 divider,structured_random
v1_balanced,MATH_UMOD8,mod_u8_u8_u8,stable,unsigned,modulo,8,67.167555,51,495,1313,2026-09-20 unsigned division-family validation,83,2,$10-$11,0,49047,0,,direct-public 8-bit divider; quotient/remainder produced in stable I/O without marshalling,
v1_balanced,MATH_UMOD16,mod_u16_u16_u16,stable,unsigned,modulo,16,184.082421,41,1535,1553,2026-09-20 unsigned division-family validation,326,2,$10-$11,0,49047,0,,balanced direct-public 16-bit divider,
v1_balanced,MATH_UMOD24,mod_u24_u24_u24,stable,unsigned,modulo,24,303.233097,56,3235,1553,2026-09-20 unsigned division-family validation,1128,3,$10-$12,0,49047,0,,balanced direct-public 24-bit divider,
v1_balanced,MATH_UMOD32_16,mod_u32_u16_u16,stable,unsigned,modulo,32/16,971.613651,185,1978,1553,2026-09-20 unsigned division-family validation,314,12,$10-$1B,0,49047,0,,profile-selected native 32/16 divider,
v1_balanced,MATH_SDIV8,div_s8_s8_s8_8,stable,signed,divide,8,88.372650,26,600,65536,current native-signed division validation,533,1,$10,0,49047,0,,direct-output native signed 8-bit divider; executable-disjoint from UDIV8,exhaustive
v1_balanced,MATH_SDIV16,div_s16_s16_s16_16,stable,signed,divide,16,187.131298,45,1604,4585,current native-signed division validation,425,6,$10-$15,0,49047,0,,balanced direct-output native signed 16-bit divider,structured_random
v1_balanced,MATH_SDIV24,div_s24_s24_s24_24,stable,signed,divide,24,313.583206,51,5583,4585,current native-signed division validation,462,6,$10-$15,0,49047,0,,balanced direct-output native signed 24-bit divider,structured_random
v1_balanced,MATH_SDIV32_16,div_s32_s16_s32_16,stable,signed,divide,32/16,955.051690,171,2063,4585,current native-signed division validation,542,12,$14-$1F,0,49047,0,,direct-output native signed 32/16 divider,structured_random
v1_balanced,MATH_SMOD8,mod_s8_s8_s8,stable,signed,modulo/remainder,8,98.157813,26,598,1280,current native-signed division validation,533,1,$10,0,49047,0,,direct-output native signed 8-bit divider; executable-disjoint from UDIV8,
v1_balanced,MATH_SMOD16,mod_s16_s16_s16,stable,signed,modulo/remainder,16,229.324910,45,1604,1385,current native-signed division validation,425,6,$10-$15,0,49047,0,,balanced direct-output native signed 16-bit divider,
v1_balanced,MATH_SMOD24,mod_s24_s24_s24,stable,signed,modulo/remainder,24,427.272924,51,3502,1385,current native-signed division validation,462,6,$10-$15,0,49047,0,,balanced direct-output native signed 24-bit divider,
v1_balanced,MATH_SMOD32_16,mod_s32_s16_s16,stable,signed,modulo/remainder,32/16,1061.083032,174,2066,1385,current native-signed division validation,545,12,$14-$1F,0,49047,0,,direct-output native signed 32/16 divider,
v1_balanced,MATH_UDIV32_32,div_u32_u32_u32_32,stable,unsigned,divide,32/32,428.554036,90,2423,6801,2026-09-20 unsigned division-family validation,946,0,,0,49047,0,,native tiered 32/32 divider with early q=0 gate,structured_random
v1_balanced,MATH_UMOD32_32,mod_u32_u32_u32,stable,unsigned,modulo,32/32,552.220863,90,2423,1553,2026-09-20 unsigned division-family validation,946,0,,0,49047,0,,native tiered 32/32 divider with early q=0 gate,
v1_balanced,MATH_SDIV32_32,div_s32_s32_s32_32,stable,signed,divide,32/32,586.396050,75,2474,6633,current native-signed division validation,987,0,,0,49047,0,,native signed 32/32 magnitude path with redundant zero-test removed,structured_random
v1_balanced,MATH_SMOD32_32,mod_s32_s32_s32,stable,signed,modulo/remainder,32/32,785.979061,75,2474,1385,current native-signed division validation,987,0,,0,49047,0,,native signed 32/32 magnitude path with redundant zero-test removed,
v1_balanced,MATH_UMUL16_SHR8,mul_u16_u16_u24_shr8,stable,unsigned,fixed multiply shift,16x16 >> 8,314.965600,303,338,5000,2026-09-14 post-upgrade deterministic comparison corpus,234,17,$09-$19,0,49047,0,,profile-selected resident implementation,
v1_balanced,MATH_SMUL16_SHR8,mul_s16_s16_s24_shr8,stable,signed,fixed multiply shift,16x16 >> 8,333.867232,301,366,4361,2026-09-20 multiply-refresh deterministic cross-profile corpus,299,17,$09-$19,0,49047,0,,FAST17 SMUL16 plus SHR8 extraction,
v1_balanced,MATH_UMUL32_SHR16,mul_u32_u32_u48_shr16,stable,unsigned,fixed multiply shift,32x32 >> 16,779.876404,717,896,4361,2026-09-20 multiply-refresh deterministic cross-profile corpus,380,31,$02-$20,0,49047,0,,FAST31/V29-derived UMUL32 producer plus existing SHR16 extraction,
v1_balanced,MATH_SMUL32_SHR16,mul_s32_s32_s48_shr16,stable,signed,fixed multiply shift,32x32 >> 16,812.998853,725,938,4361,2026-09-20 multiply-refresh deterministic cross-profile corpus,1450,31,$02-$20,0,49047,0,,FAST31/V29 SMUL32 producer plus existing SHR16 extraction,
v1_balanced,MATH_UDIV16_SHL8,div_u16_u16_u24_16_shl8,stable,unsigned,fixed divide shift,(16 << 8)/16,877.773617,289,1914,4753,2026-09-20 unsigned division-family validation,388,12,$10-$1B,0,49047,0,,fixed-point adapter into selected unsigned 32/16 divider,structured_random
v1_balanced,MATH_SDIV16_SHL8,div_s16_s16_s24_16_shl8,stable,signed,fixed divide shift,(16 << 8)/16,952.471538,281,2007,4585,current native-signed division validation,625,12,$14-$1F,0,49047,0,,fixed-point adapter into selected native signed 32/16 divider,structured_random
v1_balanced,MATH_URECIP16_Q16,recip_u16_u24_q16,stable,unsigned,reciprocal,Q16 from d16,119.994705,41,2179,65536,2026-09-20 unsigned division-family validation,1559,3,$10-$12,0,49047,0,,exact reciprocal ladder with selected profile division fallback,exhaustive
v1_balanced,MATH_SIN8,sin_u8_s8,stable,signed,trig sine,phase8 -> s8,23.000000,23,23,256,current exhaustive/profile game-math benchmark,14,0,,0,49047,0,,profile-selected resident implementation,
v1_balanced,MATH_COS8,cos_u8_s8,stable,signed,trig cosine,phase8 -> s8,29.000000,29,29,256,current exhaustive/profile game-math benchmark,18,0,,0,49047,0,,profile-selected resident implementation,
v1_balanced,MATH_SINCOS8,sincos_u8_s8_s8,stable,signed,trig sincos,phase8 -> 2xs8,39.000000,39,39,256,current exhaustive/profile game-math benchmark,25,0,,0,49047,0,,profile-selected resident implementation,
v1_balanced,MATH_ATAN2_8,atan2_s8_s8_u8,stable,signed,angle,"atan2(s8,s8) -> phase8",48.447189,29,50,65536,current exhaustive/profile game-math benchmark,97,0,,0,49047,0,,compact_opt signed-log kernel; two table pages; exact parity with prior compact outputs,
v1_balanced,MATH_ISQRT16,isqrt_u16_u16,stable,unsigned,integer square root,16 -> 16,219.740570,205,258,65536,current exhaustive/profile game-math benchmark,277,0,,0,49047,0,,profile-selected resident implementation,
v1_balanced,MATH_ISQRT32,isqrt_u32_u16,stable,unsigned,integer square root,32 -> 16,1378.900969,1193,1656,4130,current exhaustive/profile game-math benchmark,496,0,,0,49047,0,,profile-selected resident implementation,
v1_balanced,MATH_DIST8_FAST,dist_s8_s8_u8_fast,stable,signed,distance approximation,"s8,s8 -> u8",86.085602,68,104,65536,current exhaustive/profile game-math benchmark,67,0,,0,49047,0,,profile-selected resident implementation,
v1_balanced,MATH_DIST8_ACCURATE,dist_s8_s8_u8_accurate,stable,signed,distance approximation,"s8,s8 -> u8",92.085602,74,110,65536,current exhaustive/profile game-math benchmark,72,0,,0,49047,0,,profile-selected resident implementation,
v1_balanced,MATH_VEC2_NORMALIZE_Q8_8,normalize_s16_s16_s16_s16_q8_8_to_q1_15,stable,signed,vector normalize,2xs16 Q8.8 -> 2xs16 Q1.15,160.150080,84,302,107396,2026-09-21 normalize profile-parity deterministic corpus,881,4,$1A-$1D,0,49047,0,,quadrant-specific paths; certified logarithmic ratio tables,Q8.8 -> Q1.15; certified <=0.3621 deg / <=202 LSB; quadrant-specific paths
v1_balanced,MATH_SEEK8_INIT,seek_u8_u8_init,stable,unsigned,move toward target,"u8 x,u8 y target; Q8.8 speed",601.746936,147,995,4896,2026-09-25 seek profile benchmark (408 moves x speeds; every frame verified),454,0,,0,49047,0,,exact bulk-Bresenham DDA setup; no multiply/divide; init scratch in V1_SCRATCH RAM,"major-axis speed 368.27, Euclidean 835.23, integer 339.48, 1 px/frame 304.17"
v1_balanced,MATH_SEEK8_STEP,seek_u8_u8_step,stable,unsigned,move toward target,"u8 x,u8 y per slot",87.136511,77,91,453020,2026-09-25 seek profile benchmark (408 moves x speeds; every frame verified),176,0,,0,49047,0,,X-indexed per-slot state; carries pre-biased into stored deltas; exact arrival,
v1_balanced,MATH_SEEK8_STEP_INT,seek_u8_u8_step_int,stable,unsigned,move toward target,"u8 x,u8 y per slot",70.992770,61,74,94048,2026-09-25 seek profile benchmark (408 moves x speeds; every frame verified),96,0,,0,49047,0,,X-indexed per-slot state; carries pre-biased into stored deltas; exact arrival,
v1_balanced,MATH_SEEK8_STEP1,seek_u8_u8_step1,stable,unsigned,move toward target,"u8 x,u8 y per slot",65.953959,54,69,44960,2026-09-25 seek profile benchmark (408 moves x speeds; every frame verified),91,0,,0,49047,0,,NMOS DCP distance countdown; X-indexed per-slot state; exact arrival,
v1_balanced,MATH_SEEK16_INIT,seek_u16_u8_init,stable,unsigned,move toward target,"u16 x,u8 y target; Q8.8 speed",783.201389,202,1305,4896,2026-09-25 seek profile benchmark (408 moves x speeds; every frame verified),594,0,,0,49047,0,,exact bulk-Bresenham DDA setup; no multiply/divide; init scratch in V1_SCRATCH RAM,"major-axis speed 529.94, Euclidean 1036.46, integer 506.77, 1 px/frame 420.12"
v1_balanced,MATH_SEEK16_STEP,seek_u16_u8_step,stable,unsigned,move toward target,"u16 x,u8 y per slot",118.277360,102,150,514923,2026-09-25 seek profile benchmark (408 moves x speeds; every frame verified),282,0,,0,49047,0,,X-indexed per-slot state; carries pre-biased into stored deltas; exact arrival,
v1_balanced,MATH_SEEK16_STEP_INT,seek_u16_u8_step_int,stable,unsigned,move toward target,"u16 x,u8 y per slot",103.654782,85,132,107309,2026-09-25 seek profile benchmark (408 moves x speeds; every frame verified),152,0,,0,49047,0,,X-indexed per-slot state; carries pre-biased into stored deltas; exact arrival,
v1_balanced,MATH_SEEK16_STEP1,seek_u16_u8_step1,stable,unsigned,move toward target,"u16 x,u8 y per slot",98.183384,77,121,51324,2026-09-25 seek profile benchmark (408 moves x speeds; every frame verified),143,0,,0,49047,0,,NMOS DCP distance countdown; X-indexed per-slot state; exact arrival,
v2_pareto_fast,MATH_UMUL8,mul_u8_u8_u16,stable,unsigned,multiply,8,78.494614,77,80,65536,canonical harness,54,5,$39-$3D,0,49047,0,,profile-selected existing UMUL8 path; refreshed ZP record candidate rejected by profile resource contract,
v2_pareto_fast,MATH_UMUL16,mul_u16_u16_u32,stable,unsigned,multiply,16,225.837200,214,249,5000,2026-09-14 record-upgrade deterministic comparison corpus,171,17,$21-$31,0,49047,0,,17-ZP qualified record-derived fused quarter-square resident kernel (retained after refresh sweep),
v2_pareto_fast,MATH_UMUL24,mul_u24_u24_u48,stable,unsigned,multiply,24,448.291800,418,503,5000,2026-09-14 record-upgrade deterministic comparison corpus,369,24,$21-$38,0,49047,0,,24-ZP reverse_24zp_carry certified resident kernel (retained; refresh candidate did not win),
v2_pareto_fast,MATH_UMUL32,mul_u32_u32_u64,stable,unsigned,multiply,32,712.235367,652,831,2409,2026-09-20 multiply-refresh deterministic cross-profile corpus,336,31,$02-$20,0,49047,0,,FAST31/V29-derived private q0 unsigned producer; mixed-call-safe public binder,
v2_pareto_fast,MATH_UMUL32_READY,mul_u32_u32_u64_ready,stable,unsigned,multiply-ready,32,697.175781,642,784,1024,2026-09-20 multiply-refresh deterministic cross-profile corpus,320,31,$02-$20,0,49047,0,,FAST31/V29-derived private q0 unsigned producer; mixed-call-safe public binder,
v2_pareto_fast,MATH_SMUL8,mul_s8_s8_s16,stable,signed,multiply,8,67.992188,66,70,65536,2026-09-20 multiply-refresh deterministic cross-profile corpus,46,0,,0,49047,0,,direct signed-domain quarter-square kernel with private signed-sum planes,
v2_pareto_fast,MATH_SMUL16,mul_s16_s16_s32,stable,signed,multiply,16,252.324882,230,293,4457,current native-signed multiply validation,217,116,$80-$F3,0,49047,0,,116-ZP practical native signed quarter-square kernel (retained after FAST17 comparison),
v2_pareto_fast,MATH_SMUL24,mul_s24_s24_s48,stable,signed,multiply,24,487.181818,430,544,2409,current native-signed multiply validation,473,24,$21-$38,0,49047,0,,FAST24 four-quadrant native signed composition; immutable quarter-square tables shared,
v2_pareto_fast,MATH_SMUL32,mul_s32_s32_s64,stable,signed,multiply,32,743.605230,660,873,2409,current native-signed multiply validation,1406,31,$02-$20,0,49047,0,,FAST31/V29 native signed quadrant composition; mixed-call-safe public path,
v2_pareto_fast,MATH_SMUL32_READY,mul_s32_s32_s64_ready,stable,signed,multiply-ready,32,728.041992,643,802,1024,current native-signed multiply validation,1387,31,$02-$20,0,49047,0,,FAST31/V29 native signed quadrant composition; mixed-call-safe public path,
v2_pareto_fast,MATH_UDIV8,div_u8_u8_u8_8,stable,unsigned,divide,8,59.383011,26,634,65536,2026-09-20 unsigned division-family validation,433,1,$10,0,49047,0,,direct-public 8-bit divider; quotient/remainder produced in stable I/O without marshalling,exhaustive
v2_pareto_fast,MATH_UDIV16,div_u16_u16_u16_16,stable,unsigned,divide,16,127.773827,41,1076,4753,2026-09-20 unsigned division-family validation,1469,0,,0,49047,0,,fast direct-public 16-bit divider,structured_random
v2_pareto_fast,MATH_UDIV24,div_u24_u24_u24_24,stable,unsigned,divide,24,183.660846,56,3188,4753,2026-09-20 unsigned division-family validation,1468,3,$10-$12,0,49047,0,,Repose q0-counter/direct-public UDIV24,structured_random
v2_pareto_fast,MATH_UDIV32_16,div_u32_u16_u32_16,stable,unsigned,divide,32/16,753.994530,175,1880,4753,2026-09-20 unsigned division-family validation,1890,12,$10-$1B,0,49047,0,,profile-selected native 32/16 divider,structured_random
v2_pareto_fast,MATH_UMOD8,mod_u8_u8_u8,stable,unsigned,modulo,8,67.284844,51,495,1313,2026-09-20 unsigned division-family validation,131,2,$10-$11,0,49047,0,,direct-public 8-bit divider; quotient/remainder produced in stable I/O without marshalling,
v2_pareto_fast,MATH_UMOD16,mod_u16_u16_u16,stable,unsigned,modulo,16,203.033484,41,1076,1553,2026-09-20 unsigned division-family validation,1469,0,,0,49047,0,,fast direct-public 16-bit divider,
v2_pareto_fast,MATH_UMOD24,mod_u24_u24_u24,stable,unsigned,modulo,24,300.949131,56,3188,1553,2026-09-20 unsigned division-family validation,1468,3,$10-$12,0,49047,0,,Repose q0-counter/direct-public UDIV24,
