profile,family,implementation,cycles,zp_bytes,note_or_relocation
v1_balanced,SMUL16,profile-native fused selected V1 UMUL16 producer,profile-native,0 extra,preserve 31-byte V1 ZP
v1_balanced,SDIV8,sdiv8/sdiv8-fast-458b-77p497c.a,77.496689,5,"{'$0010': '$000E', '$1000': '$5000'}"
v1_balanced,SDIV16,sdiv16/sdiv16-q2-special-442b-152p570c.a,152.570305,14,"{'$0008': '$000E', '$0010': '$0012', '$0D00': '$5200', '$1000': '$5400'}"
v1_balanced,SDIV24,sdiv24/sdiv24-deep-practical-373b-238p765c.a,238.764977,18,"{'$0008': '$000E', '$0010': '$0014', '$0C00': '$5600', '$1000': '$5800'}"
v1_balanced,SDIV32_16,sdiv32_16/sdiv32_16-512-class-480b-880p596c.a,880.596406,18,"{'$00E0': '$000E', '$0010': '$0014', '$0018': '$001C', '$1000': '$5A00', '$5000': '$5B00', '$7000': '$5C00'}"
v2_pareto_fast,SMUL16,smul16_practical_116zp.a,189.562251 native / 250.562251 public,116,"$80-$F3; 2,044 B tables"
v2_pareto_fast,SDIV8,sdiv8/sdiv8-fast-458b-77p497c.a,77.496689,5,"{'$0010': '$003E', '$1000': '$7800'}"
v2_pareto_fast,SDIV16,sdiv16/sdiv16-fast-1572b-127p807c.a,127.807033,12,"{'$0008': '$003E', '$0010': '$0042', '$0D00': '$7A00', '$100C': '$7C0C'}"
v2_pareto_fast,SDIV24,sdiv24/sdiv24-fast-1876b-174p968c.a,174.967714,21,"{'$0008': '$003E', '$0010': '$0044', '$0B00': '$8100', '$1000': '$8400'}"
v2_pareto_fast,SDIV32_16,sdiv32_16/sdiv32_16-fast-2075b-782p812c.a,782.812479,18,"{'$00E0': '$003E', '$0010': '$0044', '$0018': '$004C', '$100C': '$890C', '$5000': '$8E00', '$7000': '$9200'}"
v3_reu_512k,SMUL16,smul16_practical_116zp.a,189.562251 native / 250.562251 public,116,"$80-$F3; 2,044 B tables"
v3_reu_512k,SDIV8,sdiv8/sdiv8-fast-458b-77p497c.a,77.496689,5,"{'$0010': '$003E', '$1000': '$7800'}"
v3_reu_512k,SDIV16,sdiv16/sdiv16-fast-1572b-127p807c.a,127.807033,12,"{'$0008': '$003E', '$0010': '$0042', '$0D00': '$7A00', '$100C': '$7C0C'}"
v3_reu_512k,SDIV24,sdiv24/sdiv24-fast-1876b-174p968c.a,174.967714,21,"{'$0008': '$003E', '$0010': '$0044', '$0B00': '$8100', '$1000': '$8400'}"
v3_reu_512k,SDIV32_16,sdiv32_16/sdiv32_16-fast-2075b-782p812c.a,782.812479,18,"{'$00E0': '$003E', '$0010': '$0044', '$0018': '$004C', '$100C': '$890C', '$5000': '$8E00', '$7000': '$9200'}"
v4_reu_16m,SMUL16,smul16_practical_116zp.a,189.562251 native / 250.562251 public,116,"$80-$F3; 2,044 B tables"
v4_reu_16m,SDIV8,sdiv8/sdiv8-fast-458b-77p497c.a,77.496689,5,"{'$0010': '$003E', '$1000': '$7800'}"
v4_reu_16m,SDIV16,sdiv16/sdiv16-fast-1572b-127p807c.a,127.807033,12,"{'$0008': '$003E', '$0010': '$0042', '$0D00': '$7A00', '$100C': '$7C0C'}"
v4_reu_16m,SDIV24,sdiv24/sdiv24-fast-1876b-174p968c.a,174.967714,21,"{'$0008': '$003E', '$0010': '$0044', '$0B00': '$8100', '$1000': '$8400'}"
v4_reu_16m,SDIV32_16,sdiv32_16/sdiv32_16-fast-2075b-782p812c.a,782.812479,18,"{'$00E0': '$003E', '$0010': '$0044', '$0018': '$004C', '$100C': '$890C', '$5000': '$8E00', '$7000': '$9200'}"
