profile,routine,canonical_name,cases,mean_cycles,min_cycles,max_cycles,alias_of
v1_balanced,SMUL16_REPAIRED,,4457,293.29840700022436,260,327,
v1_balanced,UDIV32_32,div_u32_u32_u32_32,6801,428.554036,90,2423,
v1_balanced,UMOD32_32,mod_u32_u32_u32,6801,428.554036,90,2423,UDIV32_32
v1_balanced,SDIV32_32,div_s32_s32_s32_32,6633,586.39605,75,2474,
v1_balanced,SMOD32_32,mod_s32_s32_s32,6633,586.39605,75,2474,SDIV32_32
v1_balanced,UMUL16_SHR8,mul_u16_u16_u24_shr8,5000,314.9656,303,338,
v1_balanced,SMUL16_SHR8,mul_s16_s16_s24_shr8,4361,333.8672322861729,301,366,
v1_balanced,UMUL32_SHR16,mul_u32_u32_u48_shr16,4361,779.876404494382,717,896,
v1_balanced,SMUL32_SHR16,mul_s32_s32_s48_shr16,4361,812.9988534739739,725,938,
v1_balanced,UDIV16_SHL8,div_u16_u16_u24_16_shl8,4753,877.773617,289,1914,
v1_balanced,SDIV16_SHL8,div_s16_s16_s24_16_shl8,4585,952.471538,281,2007,
v1_balanced,URECIP16_Q16,recip_u16_u24_q16,65536,119.994705,41,2179,
v1_balanced,SIN8,sin_u8_s8,256,23.0,23,23,
v1_balanced,COS8,cos_u8_s8,256,29.0,29,29,
v1_balanced,SINCOS8,sincos_u8_s8_s8,256,39.0,39,39,
v1_balanced,ATAN2_8,atan2_s8_s8_u8,65536,48.44718933105469,29,50,
v1_balanced,ISQRT16,isqrt_u16_u16,65536,219.74057006835938,205,258,
v1_balanced,ISQRT32,isqrt_u32_u16,4130,1378.9009685230023,1193,1656,
v1_balanced,DIST8_FAST,dist_s8_s8_u8_fast,65536,86.08560180664062,68,104,
v1_balanced,DIST8_ACCURATE,dist_s8_s8_u8_accurate,65536,92.08560180664062,74,110,
v1_balanced,VEC2_NORMALIZE_Q8_8,normalize_s16_s16_s16_s16_q8_8_to_q1_15,107396,161.3322563223956,90,302,
v2_pareto_fast,SMUL16_REPAIRED,,4457,252.32488220776307,230,293,
v2_pareto_fast,UDIV32_32,div_u32_u32_u32_32,6801,401.556389,90,2285,
v2_pareto_fast,UMOD32_32,mod_u32_u32_u32,6801,401.556389,90,2285,UDIV32_32
v2_pareto_fast,SDIV32_32,div_s32_s32_s32_32,6633,553.098146,75,2384,
v2_pareto_fast,SMOD32_32,mod_s32_s32_s32,6633,553.098146,75,2384,SDIV32_32
v2_pareto_fast,UMUL16_SHR8,mul_u16_u16_u24_shr8,5000,266.9656,255,290,
v2_pareto_fast,SMUL16_SHR8,mul_s16_s16_s24_shr8,4361,293.4113735381793,271,334,
v2_pareto_fast,UMUL32_SHR16,mul_u32_u32_u48_shr16,4361,779.876404494382,717,896,
v2_pareto_fast,SMUL32_SHR16,mul_s32_s32_s48_shr16,4361,812.9988534739739,725,938,
v2_pareto_fast,UDIV16_SHL8,div_u16_u16_u24_16_shl8,4753,764.129182,272,1849,
v2_pareto_fast,SDIV16_SHL8,div_s16_s16_s24_16_shl8,4585,834.061287,266,1908,
v2_pareto_fast,URECIP16_Q16,recip_u16_u24_q16,65536,118.523834,41,2138,
v2_pareto_fast,SIN8,sin_u8_s8,256,23.0,23,23,
v2_pareto_fast,COS8,cos_u8_s8,256,23.0,23,23,
