profile,family,canonical_name,classification,implementation,avg_cycles,min_cycles,max_cycles,zp_bytes,native_bytes,adapter_or_delta_cycles,provenance
v1_balanced,SMUL8,mul_s8_s8_s16,native_signed_kernel,direct signed-domain quarter-square kernel with private signed-sum planes,67.992188,66,70,0,46,n/a,"validation/multiply_refresh/MULTIPLY_REFRESH_BENCHMARK.json; exhaustive all 65,536 inputs"
v1_balanced,SMUL16,mul_s16_s16_s32,native_signed_kernel,FAST17 native signed composition with private 17-ZP magnitude core,293.298407,260,327,17,273,n/a,validation/review/SIGNED_MULTIPLY_VALIDATION.json; private magnitude core keeps signed/unsigned executable graphs disjoint
v1_balanced,SMUL24,mul_s24_s24_s48,native_signed_kernel,FAST24 four-quadrant native signed composition; immutable quarter-square tables shared,531.496472,474,591,24,505,n/a,validation/review/SIGNED_MULTIPLY_VALIDATION.json; FAST24 four-quadrant composition
v1_balanced,SMUL32,mul_s32_s32_s64,native_signed_kernel,FAST31/V29 native signed quadrant composition; mixed-call-safe public path,744.569946,660,873,31,1406,n/a,validation/review/SIGNED_MULTIPLY_VALIDATION.json; FAST31/V29 mixed-call-safe path
v1_balanced,SDIV8,div_s8_s8_s8_8,native_signed_kernel,native signed divide engine; no corresponding unsigned executable dependency,120.786713,63,613,5,458,already executable-independent,validation/review/SIGNED_DIVISION_VALIDATION.json
v1_balanced,SDIV16,div_s16_s16_s16_16,native_signed_kernel,native signed divide engine; no corresponding unsigned executable dependency,235.629662,107,1529,14,442,already executable-independent,validation/review/SIGNED_DIVISION_VALIDATION.json
v1_balanced,SDIV24,div_s24_s24_s24_24,native_signed_kernel,native signed divide engine; no corresponding unsigned executable dependency,367.885278,138,4795,18,373,already executable-independent,validation/review/SIGNED_DIVISION_VALIDATION.json
v1_balanced,SDIV32_16,div_s32_s16_s32_16,native_signed_kernel,native signed divide engine; no corresponding unsigned executable dependency,989.689422,209,2098,18,480,already executable-independent,validation/review/SIGNED_DIVISION_VALIDATION.json
v1_balanced,SDIV32_32,div_s32_s32_s32_32,native_signed_kernel,private native-signed 32/32 divider core,604.974974,75,2493,,,see delta audit,validation/review/SIGNED_DIVISION_VALIDATION.json
v2_pareto_fast,SMUL8,mul_s8_s8_s16,native_signed_kernel,direct signed-domain quarter-square kernel with private signed-sum planes,67.992188,66,70,0,46,n/a,"validation/multiply_refresh/MULTIPLY_REFRESH_BENCHMARK.json; exhaustive all 65,536 inputs"
v2_pareto_fast,SMUL16,mul_s16_s16_s32,native_signed_kernel,116-ZP practical native signed quarter-square kernel; retained after FAST17 comparison,252.324882,230,293,116,217,n/a,validation/review/SIGNED_MULTIPLY_VALIDATION.json; retained after controlled FAST17 comparison
v2_pareto_fast,SMUL24,mul_s24_s24_s48,native_signed_kernel,FAST24 four-quadrant native signed composition; immutable quarter-square tables shared,487.181818,430,544,24,473,n/a,validation/review/SIGNED_MULTIPLY_VALIDATION.json; FAST24 four-quadrant composition
v2_pareto_fast,SMUL32,mul_s32_s32_s64,native_signed_kernel,FAST31/V29 native signed quadrant composition; mixed-call-safe public path,743.605230,660,873,31,1406,n/a,validation/review/SIGNED_MULTIPLY_VALIDATION.json; FAST31/V29 mixed-call-safe path
v2_pareto_fast,SDIV8,div_s8_s8_s8_8,native_signed_kernel,native signed divide engine; no corresponding unsigned executable dependency,120.786713,63,613,5,458,already executable-independent,validation/review/SIGNED_DIVISION_VALIDATION.json
v2_pareto_fast,SDIV16,div_s16_s16_s16_16,native_signed_kernel,native signed divide engine; no corresponding unsigned executable dependency,216.402835,114,1073,12,1572,already executable-independent,validation/review/SIGNED_DIVISION_VALIDATION.json
v2_pareto_fast,SDIV24,div_s24_s24_s24_24,native_signed_kernel,native signed divide engine; no corresponding unsigned executable dependency,304.121483,153,3089,21,1876,already executable-independent,validation/review/SIGNED_DIVISION_VALIDATION.json
v2_pareto_fast,SDIV32_16,div_s32_s16_s32_16,native_signed_kernel,native signed divide engine; no corresponding unsigned executable dependency,868.632061,204,2008,18,2075,already executable-independent,validation/review/SIGNED_DIVISION_VALIDATION.json
