signedness,operation,width,entry,canonical_name,address,implementation_status,standalone_file
unsigned,multiply,8,MATH_UMUL8,mul_u8_u8_u16,$3000,optimized existing,mul_u8_u8_u16.asm
unsigned,multiply,16,MATH_UMUL16,mul_u16_u16_u32,$3020,optimized existing,mul_u16_u16_u32.asm
unsigned,multiply,24,MATH_UMUL24,mul_u24_u24_u48,$3060,optimized existing,mul_u24_u24_u48.asm
unsigned,multiply,32,MATH_UMUL32,mul_u32_u32_u64,$30B0,optimized existing,mul_u32_u32_u64.asm
unsigned,multiply-ready,32,MATH_UMUL32_READY,mul_u32_u32_u64_ready,$30C0,workload-specific initialized entry,mul_u32_u32_u64_ready.asm
signed,multiply,8,MATH_SMUL8,mul_s8_s8_s16,$3B80,native profile-selected,mul_s8_s8_s16.asm
signed,multiply,16,MATH_SMUL16,mul_s16_s16_s32,$3BB0,native profile-selected,mul_s16_s16_s32.asm
signed,multiply,24,MATH_SMUL24,mul_s24_s24_s48,$3BF0,native profile-selected,mul_s24_s24_s48.asm
signed,multiply,32,MATH_SMUL32,mul_s32_s32_s64,$3C40,native profile-selected,mul_s32_s32_s64.asm
signed,multiply-ready,32,MATH_SMUL32_READY,mul_s32_s32_s64_ready,$3FE0,native profile-ready producer,mul_s32_s32_s64_ready.asm
unsigned,divide,8,MATH_UDIV8,div_u8_u8_u8_8,$3120,optimized existing,div_u8_u8_u8_8.asm
unsigned,divide,16,MATH_UDIV16,div_u16_u16_u16_16,$3140,optimized existing,div_u16_u16_u16_16.asm
unsigned,divide,24,MATH_UDIV24,div_u24_u24_u24_24,$3170,optimized existing,div_u24_u24_u24_24.asm
unsigned,divide,32/16,MATH_UDIV32_16,div_u32_u16_u32_16,$31B0,optimized existing,div_u32_u16_u32_16.asm
unsigned,modulo,8,MATH_UMOD8,mod_u8_u8_u8,$3200,optimized existing,mod_u8_u8_u8.asm
unsigned,modulo,16,MATH_UMOD16,mod_u16_u16_u16,$3220,optimized existing,mod_u16_u16_u16__math_umod16.asm
