routine,cases,mean_cycles,min_cycles,max_cycles,alias_of
SMUL16_REPAIRED,4457,293.29840700022436,260,327,
UDIV32_32,33444,434.1109915081928,151,2389,
UMOD32_32,33444,434.1109915081928,151,2389,UDIV32_32
SDIV32_32,6633,604.9749736167647,75,2493,
SMOD32_32,1385,804.7184115523465,75,2493,SDIV32_32
UMUL16_SHR8,5000,314.9656,303,338,
SMUL16_SHR8,4361,333.8672322861729,301,366,
UMUL32_SHR16,4361,779.876404494382,717,896,
SMUL32_SHR16,4361,812.9988534739739,725,938,
UDIV16_SHL8,4240,855.6811320754717,289,1914,
SDIV16_SHL8,4585,987.0911668484188,319,2042,
URECIP16_Q16,65536,126.17572021484375,41,2588,
SIN8,256,23.0,23,23,
COS8,256,29.0,29,29,
SINCOS8,256,39.0,39,39,
ATAN2_8,65536,50.44134521484375,30,53,
ISQRT16,65536,219.74057006835938,205,258,
ISQRT32,4130,1378.9009685230023,1193,1656,
DIST8_FAST,65536,86.08560180664062,68,104,
DIST8_ACCURATE,65536,92.08560180664062,74,110,
VEC2_NORMALIZE_Q8_8,107396,198.770270773586,129,333,
