routine,cases,mean_cycles,min_cycles,max_cycles,alias_of
SMUL16_REPAIRED,4240,253.44103773584905,230,293,
UDIV32_32,33444,401.97255113024755,139,2251,
UMOD32_32,33444,401.97255113024755,139,2251,UDIV32_32
SDIV32_32,33444,541.5828848223897,75,2358,
SMOD32_32,33444,541.5828848223897,75,2358,SDIV32_32
UMUL16_SHR8,4240,391.84080188679246,379,406,
SMUL16_SHR8,4240,294.0686320754717,271,334,
UMUL32_SHR16,2724,817.5135829662262,761,937,
SMUL32_SHR16,2724,874.087738619677,778,1052,
UDIV16_SHL8,4240,762.6063679245283,272,1849,
SDIV16_SHL8,4240,872.9641509433962,304,1860,
URECIP16_Q16,65536,119.57756042480469,41,2079,
SIN8,256,23.0,23,23,
COS8,256,23.0,23,23,
SINCOS8,256,31.0,31,31,
ATAN2_8,65536,125.80775451660156,33,155,
ISQRT16,65536,205.76058959960938,193,246,
ISQRT32,4130,1198.619612590799,1052,1428,
DIST8_FAST,65536,79.57003784179688,64,95,
DIST8_ACCURATE,65536,85.57003784179688,70,101,
