legacy_api,canonical_name,file,alias_of,entry_address,reachable_instructions
MATH_UMUL8,mul_u8_u8_u16,mul_u8_u8_u16.asm,,$3000,26
MATH_UMUL16,mul_u16_u16_u32,mul_u16_u16_u32.asm,,$3020,86
MATH_UMUL24,mul_u24_u24_u48,mul_u24_u24_u48.asm,,$3060,179
MATH_UMUL32,mul_u32_u32_u64,mul_u32_u32_u64.asm,,$30B0,159
MATH_UMUL32_READY,mul_u32_u32_u64_ready,mul_u32_u32_u64_ready.asm,,$30C0,151
MATH_SMUL8,mul_s8_s8_s16,mul_s8_s8_s16.asm,,$3B80,19
MATH_SMUL16,mul_s16_s16_s32,mul_s16_s16_s32.asm,,$3BB0,115
MATH_SMUL24,mul_s24_s24_s48,mul_s24_s24_s48.asm,,$3BF0,232
MATH_SMUL32,mul_s32_s32_s64,mul_s32_s32_s64.asm,,$3C40,669
MATH_SMUL32_READY,mul_s32_s32_s64_ready,mul_s32_s32_s64_ready.asm,,$3FE0,660
MATH_UDIV8,div_u8_u8_u8_8,div_u8_u8_u8_8.asm,,$3120,182
MATH_UDIV16,div_u16_u16_u16_16,div_u16_u16_u16_16.asm,,$3140,626
MATH_UDIV24,div_u24_u24_u24_24,div_u24_u24_u24_24.asm,,$3170,583
MATH_UDIV32_16,div_u32_u16_u32_16,div_u32_u16_u32_16.asm,,$31B0,1043
MATH_UMOD8,mod_u8_u8_u8,mod_u8_u8_u8.asm,,$3200,69
MATH_UMOD16,mod_u16_u16_u16,mod_u16_u16_u16__math_umod16.asm,MATH_UDIV16,$3220,626
MATH_UMOD24,mod_u24_u24_u24,mod_u24_u24_u24__math_umod24.asm,MATH_UDIV24,$3223,583
MATH_UMOD32_16,mod_u32_u16_u16,mod_u32_u16_u16__math_umod32_16.asm,MATH_UDIV32_16,$3226,1044
MATH_SDIV8,div_s8_s8_s8_8,div_s8_s8_s8_8.asm,,$3CA0,235
MATH_SDIV16,div_s16_s16_s16_16,div_s16_s16_s16_16.asm,,$3D20,804
MATH_SDIV24,div_s24_s24_s24_24,div_s24_s24_s24_24.asm,,$3DE0,658
MATH_SDIV32_16,div_s32_s16_s32_16,div_s32_s16_s32_16.asm,,$3EE0,1154
MATH_SMOD8,mod_s8_s8_s8,mod_s8_s8_s8__math_smod8.asm,MATH_SDIV8,$3FD4,235
MATH_SMOD16,mod_s16_s16_s16,mod_s16_s16_s16__math_smod16.asm,MATH_SDIV16,$3FD7,804
MATH_SMOD24,mod_s24_s24_s24,mod_s24_s24_s24__math_smod24.asm,MATH_SDIV24,$3FDA,658
MATH_SMOD32_16,mod_s32_s16_s16,mod_s32_s16_s16__math_smod32_16.asm,MATH_SDIV32_16,$3FDD,1155
MATH_UDIV32_32,div_u32_u32_u32_32,div_u32_u32_u32_32.asm,,$5E00,362
MATH_UMOD32_32,mod_u32_u32_u32,mod_u32_u32_u32__math_umod32_32.asm,MATH_UDIV32_32,$5E03,362
MATH_SDIV32_32,div_s32_s32_s32_32,div_s32_s32_s32_32.asm,,$5E06,380
MATH_SMOD32_32,mod_s32_s32_s32,mod_s32_s32_s32__math_smod32_32.asm,MATH_SDIV32_32,$5E09,380
MATH_UMUL16_SHR8,mul_u16_u16_u24_shr8,mul_u16_u16_u24_shr8.asm,,$5E0C,96
MATH_SMUL16_SHR8,mul_s16_s16_s24_shr8,mul_s16_s16_s24_shr8.asm,,$5E0F,125
MATH_UMUL32_SHR16,mul_u32_u32_u48_shr16,mul_u32_u32_u48_shr16.asm,,$5E12,175
MATH_SMUL32_SHR16,mul_s32_s32_s48_shr16,mul_s32_s32_s48_shr16.asm,,$5E15,685
MATH_UDIV16_SHL8,div_u16_u16_u24_16_shl8,div_u16_u16_u24_16_shl8.asm,,$5E18,1070
MATH_SDIV16_SHL8,div_s16_s16_s24_16_shl8,div_s16_s16_s24_16_shl8.asm,,$5E1B,1184
MATH_URECIP16_Q16,recip_u16_u24_q16,recip_u16_u24_q16.asm,,$5E1E,760
MATH_SIN8,sin_u8_s8,sin_u8_s8.asm,,$5E21,6
MATH_COS8,cos_u8_s8,cos_u8_s8.asm,,$5E24,6
MATH_SINCOS8,sincos_u8_s8_s8,sincos_u8_s8_s8.asm,,$5E27,8
MATH_ATAN2_8,atan2_s8_s8_u8,atan2_s8_s8_u8.asm,,$5E2A,40
MATH_ISQRT16,isqrt_u16_u16,isqrt_u16_u16.asm,,$5E2D,113
MATH_ISQRT32,isqrt_u32_u16,isqrt_u32_u16.asm,,$5E30,199
MATH_DIST8_FAST,dist_s8_s8_u8_fast,dist_s8_s8_u8_fast.asm,,$5E33,30
MATH_DIST8_ACCURATE,dist_s8_s8_u8_accurate,dist_s8_s8_u8_accurate.asm,,$5E36,31
MATH_VEC2_NORMALIZE_Q8_8,normalize_s16_s16_s16_s16_q8_8_to_q1_15,normalize_s16_s16_s16_s16_q8_8_to_q1_15.asm,,$5E39,413
