segment,load_address,bytes,file,purpose
turbo_umul32_helper_a,$1000,69,integrated PRG,stack-free ram135 Turbo32 private helper block A; sparse combined reproduction mirror: turbo_umul32_resident_ram135.bin
turbo_umul32_helper_b,$1100,116,integrated PRG,stack-free ram135 Turbo32 private summation/helper block B; sparse combined reproduction mirror: turbo_umul32_resident_ram135.bin
public_main,$3000,693,resident/segments/public_main.bin,public wrappers + math_init
composition_chains,$3300,200,resident/segments/composition_chains.bin,composition helpers
umul32_adapter,$3420,75,resident/segments/umul32_adapter.bin,resident UMUL32 adapter
umul24_adapter,$34C0,70,resident/segments/umul24_adapter.bin,resident UMUL24 adapter
reu_umul16_begin,$3800,41,resident/segments/reu_umul16_begin.bin,REU v3 adapter/transport code
reu_umul16_turbo,$3840,40,resident/segments/reu_umul16_turbo.bin,REU v3 adapter/transport code
reu_umul16_end,$3880,6,resident/segments/reu_umul16_end.bin,REU v3 adapter/transport code
reu_umul32_begin,$38C0,41,resident/segments/reu_umul32_begin.bin,REU v3 adapter/transport code
reu_umul32_turbo,$3900,82,resident/segments/reu_umul32_turbo.bin,REU v3 adapter/transport code
reu_umul32_end,$3960,6,resident/segments/reu_umul32_end.bin,REU v3 adapter/transport code
reu_lookup_init,$39A0,26,resident/segments/reu_lookup_init.bin,REU v3 adapter/transport code
reu_umul8,$39C0,46,resident/segments/reu_umul8.bin,REU v3 adapter/transport code
reu_udiv8,$3A00,58,resident/segments/reu_udiv8.bin,REU v3 adapter/transport code
reu_umod8,$3A40,39,resident/segments/reu_umod8.bin,REU v3 adapter/transport code
reu_umul16_default,$3A80,241,resident/segments/reu_umul16_default.bin,REU v3 adapter/transport code
udiv16,$420C,1104,resident/bin/udiv16_code.bin,UDIV16 Size-Fast
udiv24,$4800,1191,resident/bin/udiv24_code.bin,UDIV24 Size-Fast
udiv32_16_outer,$4E00,737,resident/bin/udiv32_16_outer.bin,UDIV32/16 continuation
umul24,$5649,307,resident/bin/umul24_code.bin,qualified 24-ZP reverse/carry UMUL24 record kernel (includes retained init)
umul32,$5800,277,resident/bin/umul32_code.bin,resident UMUL32
umul24_sqr_lo,$6000,511,resident/bin/umul24_sqr_lo.bin,UMUL24 table
umul24_sqr_hi,$6200,511,resident/bin/umul24_sqr_hi.bin,UMUL24 table
umul24_neg_lo,$6400,511,resident/bin/umul24_neg_lo.bin,UMUL24 table
umul24_neg_hi,$6600,511,resident/bin/umul24_neg_hi.bin,UMUL24 table
umul32_sqr_lo,$7000,511,resident/bin/umul32_sqr_lo.bin,shared resident/turbo $CA table
umul32_sqr_hi,$7200,511,resident/bin/umul32_sqr_hi.bin,shared resident/turbo $CA table
umul32_neg_lo,$7400,511,resident/bin/umul32_neg_lo.bin,shared resident/turbo $CA table
umul32_neg_hi,$7600,511,resident/bin/umul32_neg_hi.bin,shared resident/turbo $CA table
signed_math_api,$3B80,1036,segments/signed_math_api.bin,signed SMUL/SDIV/SMOD public extension; sparse fixed-address image spans $3B80-$3FE5
umul16,$53EC,133,resident/bin/umul16_code.bin,qualified 17-ZP fused quarter-square UMUL16 record kernel (resident adapted)
normalize_entry,$5E39,3,integrated PRG,stable vector-normalize JMP
normalize_dispatch_pp,$1200,228,integrated PRG,sign-specific normalize code; branches stay within page
normalize_pn,$1300,200,integrated PRG,sign-specific normalize code; branches stay within page
normalize_nn,$1720,218,integrated PRG,sign-specific normalize code; branches stay within page
normalize_np,$1B00,200,integrated PRG,sign-specific normalize code; branches stay within page
normalize_components,$6800,1024,integrated PRG,unchanged Q1.15 component planes; REU ratio table remains bank 4:$8000-$FFFF
seek_entries,$5E3C,24,integrated PRG,eight stable MATH_SEEK8_*/MATH_SEEK16_* JMP slots
seek8_step,$4124,180,integrated PRG,"SEEK8 per-frame steppers (STEP/STEP_INT/STEP1); one page, no page-crossing branches"
seek8_init,$3711,205,integrated PRG,SEEK8 init: geometry and bulk-Bresenham rates
seek8_planes,$5EDD,95,integrated PRG,SEEK8 per-frame delta plane writer
seek16_step,$4000,291,integrated PRG,SEEK16 per-frame steppers (STEP/STEP_INT/STEP1)
seek16_init,$3600,271,integrated PRG,SEEK16 init: geometry and bulk-Bresenham rates
seek16_helpers,$5E54,137,integrated PRG,SEEK16 rate/plane helpers
seek_shared,$3D23,109,integrated PRG,shared Euclidean speed correction + 32-byte cos table
seek8_state,$9308,160,integrated PRG,"SEEK8 per-slot state, 8 slots (POS_X/POS_Y public); runtime RAM"
seek16_state,$90E8,248,integrated PRG,"SEEK16 per-slot state, 8 slots (POS_XL/XH/Y public); runtime RAM"
