operation,canonical_name,v3_reu_512k_cycles,v4_reu_16m_cycles,v4_evidence
umul8,mul_u8_u8_u16,69.0,69.0,unchanged V3 path/evidence
umul16,mul_u16_u16_u32,339.0,225.8372,2026-09-14 record-upgrade deterministic comparison corpus
umul24,mul_u24_u24_u48,475.784575,448.2918,2026-09-14 record-upgrade deterministic comparison corpus
umul32,mul_u32_u32_u64,712.235367,712.235367,2026-09-20 multiply-refresh deterministic cross-profile corpus
udiv8,div_u8_u8_u8_8,70.863281,70.863281,2026-09-20 unsigned division-family validation
udiv16,div_u16_u16_u16_16,125.423943,125.62571,2026-09-20 unsigned division-family validation
udiv24,div_u24_u24_u24_24,191.745424,187.307174,2026-09-20 unsigned division-family validation
udiv32_16,div_u32_u16_u32_16,755.944246,757.480328,2026-09-20 unsigned division-family validation
umod8,mod_u8_u8_u8,49.71211,49.725819,2026-09-20 unsigned division-family validation
umod16,mod_u16_u16_u16,203.396008,202.55763,2026-09-20 unsigned division-family validation
umod24,mod_u24_u24_u24,302.914359,301.613007,2026-09-20 unsigned division-family validation
umod32_16,mod_u32_u16_u16,789.650998,789.841597,2026-09-20 unsigned division-family validation
