segment,load_address,bytes,file,purpose
turbo_umul32_helper_a,$1000,69,integrated PRG,stack-free ram135 Turbo32 private helper block A; sparse combined reproduction mirror: turbo_umul32_resident_ram135.bin
turbo_umul32_helper_b,$1100,116,integrated PRG,stack-free ram135 Turbo32 private summation/helper block B; sparse combined reproduction mirror: turbo_umul32_resident_ram135.bin
public_main,$3000,693,resident/math_v4_reu_16m_game_math.prg,public wrappers + math_init; integrated in V4 PRG (not separately shipped)
composition_chains,$3300,200,resident/math_v4_reu_16m_game_math.prg,composition helpers; integrated in V4 PRG (not separately shipped)
umul32_adapter,$3420,75,resident/math_v4_reu_16m_game_math.prg,resident UMUL32 adapter; integrated in V4 PRG (not separately shipped)
umul24_adapter,$34C0,70,resident/math_v4_reu_16m_game_math.prg,resident UMUL24 adapter; integrated in V4 PRG (not separately shipped)
reu_umul16_begin,$3800,41,resident/math_v4_reu_16m_game_math.prg,REU v3 adapter/transport code; integrated in V4 PRG (not separately shipped)
reu_umul16_turbo,$3840,40,resident/math_v4_reu_16m_game_math.prg,REU v3 adapter/transport code; integrated in V4 PRG (not separately shipped)
reu_umul16_end,$3880,6,resident/math_v4_reu_16m_game_math.prg,REU v3 adapter/transport code; integrated in V4 PRG (not separately shipped)
reu_umul32_begin,$38C0,41,resident/math_v4_reu_16m_game_math.prg,REU v3 adapter/transport code; integrated in V4 PRG (not separately shipped)
reu_umul32_turbo,$3900,82,resident/math_v4_reu_16m_game_math.prg,REU v3 adapter/transport code; integrated in V4 PRG (not separately shipped)
reu_umul32_end,$3960,6,resident/math_v4_reu_16m_game_math.prg,REU v3 adapter/transport code; integrated in V4 PRG (not separately shipped)
reu_lookup_init,$39A0,26,resident/math_v4_reu_16m_game_math.prg,REU v3 adapter/transport code; integrated in V4 PRG (not separately shipped)
reu_umul8,$39C0,46,resident/math_v4_reu_16m_game_math.prg,REU v3 adapter/transport code; integrated in V4 PRG (not separately shipped)
reu_udiv8,$3A00,58,resident/math_v4_reu_16m_game_math.prg,REU v3 adapter/transport code; integrated in V4 PRG (not separately shipped)
reu_umod8,$3A40,39,resident/math_v4_reu_16m_game_math.prg,REU v3 adapter/transport code; integrated in V4 PRG (not separately shipped)
v4_qs16_mode,$3A80,231,resident/segments/v4_qs16_mode.bin,V4 16 MiB QS16 begin/call/end
udiv16,$420C,1104,resident/bin/udiv16_code.bin,UDIV16 Size-Fast
udiv24,$4800,1191,resident/bin/udiv24_code.bin,UDIV24 Size-Fast
udiv32_16_outer,$4E00,737,resident/bin/udiv32_16_outer.bin,UDIV32/16 continuation
umul24,$5649,307,resident/bin/umul24_code.bin,qualified 24-ZP reverse/carry UMUL24 record kernel (includes retained init)
umul32,$5800,277,resident/bin/umul32_code.bin,resident UMUL32
umul24_sqr_lo,$6000,511,resident/bin/umul24_sqr_lo.bin,UMUL24 table
umul24_sqr_hi,$6200,511,resident/bin/umul24_sqr_hi.bin,UMUL24 table
umul24_neg_lo,$6400,511,resident/bin/umul24_neg_lo.bin,UMUL24 table
umul24_neg_hi,$6600,511,resident/bin/umul24_neg_hi.bin,UMUL24 table
umul32_sqr_lo,$7000,511,resident/bin/umul32_sqr_lo.bin,shared resident/turbo $CA table
umul32_sqr_hi,$7200,511,resident/bin/umul32_sqr_hi.bin,shared resident/turbo $CA table
umul32_neg_lo,$7400,511,resident/bin/umul32_neg_lo.bin,shared resident/turbo $CA table
umul32_neg_hi,$7600,511,resident/bin/umul32_neg_hi.bin,shared resident/turbo $CA table
signed_math_api,$3B80,1036,segments/signed_math_api.bin,signed SMUL/SDIV/SMOD public extension; sparse fixed-address image spans $3B80-$3FE5
umul16,$53EC,133,resident/math_v4_reu_16m_game_math.prg,qualified 17-ZP fused quarter-square UMUL16 record kernel (resident adapted); integrated in V4 PRG
normalize_entry,$5E39,3,integrated PRG,stable vector-normalize JMP
normalize_dispatch_pp,$1200,228,integrated PRG,sign-specific normalize code; branches stay within page
normalize_pn,$1300,200,integrated PRG,sign-specific normalize code; branches stay within page
normalize_nn,$1720,218,integrated PRG,sign-specific normalize code; branches stay within page
normalize_np,$1B00,200,integrated PRG,sign-specific normalize code; branches stay within page
normalize_components,$6800,1024,integrated PRG,unchanged Q1.15 component planes; REU ratio table remains bank 4:$8000-$FFFF
